"respid","freq","female","age","inc","color","veh","worker","time","company","access","av_drive","av_pool","av_pickup","av_taxi","av_transit","av_bike","av_walk","age_18_24","age_25_34","age_35_44","age_45_54","age_55_64","age_65","inc_under30k","inc_30k_75k","inc_75k_100k","inc_over100k","time_mor_eve","time_once","time_weekend","freq_month","freq_week","freq_24days","freq_57days"
10798298298,1,1,5,3,0,2,0,1,0,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
10798272296,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
10798227849,4,1,5,2,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
10798181741,1,0,4,3,0,2,1,2,0,5,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
10798176447,1,1,4,3,0,2,1,0,1,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10798175863,1,1,1,3,0,3,3,3,0,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
10798155087,1,0,5,3,0,1,1,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10798026966,1,1,4,0,1,1,1,2,1,3,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
10798019406,1,0,2,2,1,1,3,4,1,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10798002640,1,1,1,1,0,1,1,0,0,3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
10797728637,4,0,4,2,0,3,3,0,0,6,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
10797251493,1,1,5,3,0,2,0,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
10797211928,1,1,5,2,0,1,0,2,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
10797199444,3,0,2,0,0,1,0,2,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
10797179827,1,0,2,3,0,1,2,4,1,6,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
10797176879,1,1,3,3,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
10797099629,3,1,4,3,0,1,2,0,0,6,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
10797082618,1,1,0,0,0,1,1,0,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
10797080055,1,1,5,2,0,2,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
10797049867,1,1,4,1,0,1,2,0,0,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
10797039116,1,0,2,0,1,1,0,2,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
10797036895,2,1,4,3,0,3,2,3,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
10797025069,2,1,4,1,0,1,1,2,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
10797013808,3,0,1,3,0,1,2,0,0,5,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10797007399,1,0,1,0,0,3,1,0,0,5,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
10796993329,1,1,3,1,0,1,1,4,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
10796980146,4,1,4,3,0,3,3,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
